month,trades,wins,pnl,capital_end,win_rate
2024-12,6,6,2138.873825176536,2638.873825176536,1.0
2025-01,16,15,2636.6898532712044,5275.56367844774,0.9375
2025-02,11,11,2108.138969480943,7383.702647928683,1.0
2025-03,9,9,1372.49867690132,8756.201324830003,1.0
2025-04,10,10,1401.8825768698825,10158.083901699885,1.0
2025-05,15,15,2435.729429935304,12593.813331635189,1.0
2025-06,16,14,2324.884261784609,14918.697593419798,0.875
2025-07,14,13,1908.2057909682633,16826.90338438806,0.9285714285714286
2025-08,15,14,3343.1652482240015,20170.068632612063,0.9333333333333333
2025-09,10,9,954.628917596593,21124.697550208657,0.9
2025-10,18,18,1999.7370381890225,23124.43458839768,1.0
2025-11,8,8,1030.6471972537154,24155.081785651393,1.0
2025-12,5,5,1075.4916112468793,25230.57339689827,1.0
