month,trades,wins,pnl,capital_end,win_rate,return_pct
2024-12,11,11,8430.966436327053,8930.966436327053,1.0,1686.1932872654104
2025-01,10,10,3989.3630675187737,12920.329503845827,1.0,44.66888433587528
2025-02,15,15,9081.004020786553,22001.33352463238,1.0,70.2846163333801
2025-03,18,17,14908.35817060477,36909.691695237154,0.9444444444444444,67.76115708583565
2025-04,10,10,3466.927329470212,40376.61902470737,1.0,9.392999968941995
2025-05,28,28,23329.98215019501,63706.601174902375,1.0,57.780920527097294
2025-06,18,18,15252.94306687622,78959.5442417786,1.0,23.94248442951814
2025-07,14,14,10648.403448136625,89607.94768991522,1.0,13.48589781056817
2025-08,16,15,3682.268478261254,93290.21616817647,0.9375,4.109310137314604
2025-09,16,15,11263.783331547698,104553.99949972417,0.9375,12.07391706676101
2025-10,12,12,4917.496517543143,109471.49601726732,1.0,4.703307899336855
2025-11,10,10,5222.876705355407,114694.37272262272,1.0,4.770992354513529
2025-12,11,11,8460.06785347953,123154.44057610225,1.0,7.376183898698664
